Unnamed: 0,Restaurant Name,City,Locality,Cuisines,Average Cost for two,Has Table booking,Has Online delivery, Rating Stars out of 5,Rating in text,Price range,Votes
94,The Corner Cafe,4,126,5,13,0,0,4.1,3,2,160
95,Chung Fa,4,136,7,8,0,0,4.3,3,3,57
96,Shanghai Salsa,4,136,8,16,0,0,4,3,2,58
97,Three Guys,4,136,8,10,0,0,4.3,3,3,115
98,Ziya,4,136,8,10,0,0,4.3,3,2,51
99,Exotica,5,0,22,22,1,1,4.3,3,3,250
100,AB's - Absolute Barbecues,5,18,10,22,0,0,4.9,1,3,117
101,Chili's,5,18,20,26,1,1,4.7,1,3,20
102,The Fisherman's Wharf,5,43,25,22,1,0,3.8,2,3,25
103,Chili's,5,51,20,26,0,1,4.6,1,3,1821
104,Pine & Dine,5,51,23,10,1,1,4,3,2,849
105,Jonathan's Kitchen - Holiday Inn Express & Suites,5,52,23,27,1,0,4.3,3,3,917
106,AB's - Absolute Barbecues,5,59,10,22,0,0,4.9,1,3,439
107,ConÃÂÃÂ­_u,5,59,2,8,0,0,4.8,1,2,289
108,Dock Forty Five,5,59,8,21,0,0,4.2,3,3,558
109,Mocha Bar Bar,5,59,23,19,1,0,4.2,3,3,613
110,Olive Bistro,5,59,19,28,1,1,4.4,3,4,353
111,Prost Brew Pub,5,59,16,19,1,0,4.1,3,3,387
112,United Kitchens of India,5,59,23,18,1,0,4.1,3,3,755
113,Heart Cup Coffee,5,65,5,26,0,1,4.2,3,3,800
114,Churrolto,5,77,9,6,0,0,4.7,1,2,350
115,The Grand Trunk Road,5,77,23,18,0,1,3.9,2,3,464
116,Sahibaos Barbeque by Ohriaos,5,89,15,21,1,0,4.1,3,3,550
117,Tapri Central,6,23,5,11,0,1,4.7,1,2,543
118,Blackout,6,23,23,24,0,0,3.9,2,3,465
119,Mamu's Infusion,6,23,16,21,0,1,4,3,3,546
120,Nibs Cafe,6,23,5,11,0,1,4.4,3,2,1098
121,On The House,6,23,16,20,0,1,4.4,3,3,579
122,WTF,6,23,8,16,0,0,4,3,3,374
123,Chokhi Dhani,6,31,24,23,0,0,4.3,3,3,717
124,Meraaki Kitchen,6,34,21,22,0,0,3.9,2,3,548
125,Taruveda Bistro,6,34,5,16,0,1,4.2,3,3,631
126,The Forresta Kitchen & Bar,6,36,8,26,0,0,4,3,3,372
127,Monarch Restaurant - Holiday Inn Jaipur City Centre,6,53,23,31,0,0,4.5,1,4,201
128,Chao Chinese Bistro - Holiday Inn Jaipur City Centre,6,53,7,33,0,0,4.3,3,4,332
129,Zolocrust - Hotel Clarks Amer,6,54,16,28,0,1,4.9,1,4,304
130,Mutual's,6,71,5,9,0,1,4.2,3,2,368
131,O2- The Plant Cafe,6,71,8,10,0,0,4.1,3,2,430
132,Cafe LazyMojo,6,80,5,12,0,1,4.3,3,2,433
133,Replay,6,123,23,22,0,0,4.3,3,3,380
134,Sky Beach,6,128,23,16,0,0,2.6,0,3,456
135,Decked Up By Garden Cafe,6,128,5,19,0,1,3.9,2,3,647
136,Calzone- Dine & Rooftop Lounge,6,132,8,12,0,1,3.7,2,2,360
137,Asia Kitchen by Mainland China,7,1,1,21,0,1,4.6,1,3,227
138,Hoppipola,7,1,16,19,0,1,4.2,3,3,290
139,Spice Kraft,7,16,8,19,0,0,4.8,1,3,270
140,Nawwarah,7,16,7,16,0,0,3.9,2,3,326
141,6 Ballygunge Place,7,16,3,16,1,1,4.4,3,3,317
142,Mumbai Local,7,16,23,19,1,0,4.2,3,3,300
143,Gabbar's Bar & Kitchen,7,26,23,21,1,0,4.4,3,3,21
144,TGI Friday's,7,39,0,26,1,1,4,3,3,237
145,Santa's Fantasea,7,46,25,12,0,0,4.2,3,2,879
146,India Restaurant,7,63,4,12,1,1,4.6,1,2,615
147,Flame & Grill,7,81,23,22,1,0,3.9,2,3,879
148,Barbeque Nation,7,91,23,23,0,0,4.9,1,3,379
149,Mocambo,7,91,8,17,0,1,3.5,2,3,303
150,BarBQ,7,91,7,14,0,1,4.2,3,2,538
151,Peter Cat,7,91,8,16,0,1,4.3,3,3,334
152,The Irish House,7,97,10,27,0,0,4.4,3,3,555
153,Barbeque Nation,7,113,23,23,0,0,4.9,1,3,823
154,Ocean Grill,7,113,8,22,1,0,3.6,2,3,550
155,Sigree Global Grill,7,117,23,23,1,0,4.1,3,3,650
156,What's Up,7,119,5,16,1,0,4,3,3,410
157,Grandson of Tunday Kababi,8,4,22,2,0,0,4.9,1,1,660
158,Frozen Factory,8,47,9,0,0,0,4.5,1,1,360
159,Mocha Bar,8,47,5,12,0,0,4.6,1,3,340
160,Chemistry CafÃÂÃÂ­ÃÂÃÂ©,8,47,5,9,0,0,3.5,2,2,393
161,Homeys Cafe,8,47,5,5,0,0,3.9,2,2,422
162,Percussion,8,47,8,16,0,0,3.7,2,3,435
163,The Urban Terrace,8,47,23,18,0,0,3.9,2,3,369
164,Free Spirit,8,47,5,5,0,0,4.3,3,2,487
165,Spice Caves,8,47,23,19,0,0,4.2,3,3,98
166,The Chocolate Heaven,8,47,5,4,0,0,4.1,3,2,365
167,The Pebbles Bistro,8,47,10,16,0,0,4.1,3,3,190
168,Underdoggs Sports Bar & Grill,8,47,19,20,0,0,4.3,3,3,429
169,Vintage Machine,8,47,16,16,0,0,4.3,3,3,430
170,Bar Bar,8,49,5,16,0,0,4,3,3,186
171,Dastarkhwan,8,49,22,4,0,0,4.4,3,2,220
172,The Cherry Tree Cafe,8,49,5,4,0,0,4.1,3,2,347
173,Royal Sky,8,72,23,18,0,0,4.2,3,3,161
174,L 14 - Renaissance Lucknow Hotel,8,103,23,28,0,0,4.2,3,4,160
175,Barbeque Nation,8,105,23,23,0,0,4.7,1,4,820
176,Colours by Royal Cafe - Royal Inn,8,106,23,16,0,0,4.2,3,3,488
177,Cappuccino Blast,8,107,5,10,0,0,4,3,2,253
178,Joey's Pizza,9,13,11,12,0,0,4,3,2,220
